Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
16160000000,3,True,True,True,Pasdaran,16160000000,538666.67
8400000000,2,True,True,True,Gheitarieh,8700000000,290000
3310000000,2,True,True,True,Ostad Moein,3310000000,110333.33
2550000000,2,True,True,True,Central Janatabad,2550000000,85000
3600,2,False,False,False,Shahryar,9720000000,324000
929,5,True,True,False,Zafar,80000000000,2666666.67
750,5,True,True,True,Mahmoudieh,75000000000,2500000
750,5,True,True,False,Varamin - Beheshti,3500000000,116666.67
705,5,True,True,False,Abazar,91000000000,3033333.33
680,5,True,True,False,Ekhtiarieh,81600000000,2720000
660,5,True,True,False,Lavasan,55000000000,1833333.33
650,2,True,True,False,Absard,5200000000,173333.33
630,0,False,False,False,Tajrish,75600000000,2520000
574,5,True,True,False,North Program Organization,60000000000,2000000
550,3,True,True,False,Absard,4500000000,150000
530,4,True,True,True,Dorous,79500000000,2650000
500,2,True,True,False,Absard,3900000000,130000
500,4,True,True,False,Damavand,20000000000,666666.67
500,2,True,True,False,Absard,3100000000,103333.33
500,5,True,True,False,Gandhi,70000000000,2333333.33
450,2,True,True,False,Absard,4200000000,140000
450,2,False,False,False,Absard,4500000000,150000
450,4,True,True,True,Niavaran,25000000000,833333.33
420,5,True,True,False,Andisheh,11000000000,366666.67
420,4,True,True,True,Zaferanieh,92400000000,3080000
415,5,True,True,True,Niavaran,53950000000,1798333.33
405,5,True,True,False,Andisheh,11000000000,366666.67
403,5,True,False,False,Andisheh,13000000000,433333.33
400,5,True,True,False,Lavasan,85000000000,2833333.33
400,5,True,True,True,Ekhtiarieh,18500000000,616666.67
400,1,True,False,False,Shahedshahr,3000000000,100000
400,5,True,True,False,Mirdamad,56000000000,1866666.67
400,5,True,True,False,Andisheh,11000000000,366666.67
400,4,True,True,True,Elahieh,63000000000,2100000
380,4,True,True,True,Elahieh,50000000000,1666666.67
377,4,True,True,True,Elahieh,31668000000,1055600
365,4,True,True,True,Dorous,47450000000,1581666.67
360,4,True,True,True,Niavaran,38000000000,1266666.67
350,3,True,True,True,Zaferanieh,52500000000,1750000
350,4,True,True,True,Niavaran,80500000000,2683333.33
350,5,True,True,True,Gheitarieh,35000000000,1166666.67
350,4,True,True,True,Niavaran,72000000000,2400000
350,4,True,True,True,Gheitarieh,35000000000,1166666.67
345,4,True,True,True,Jordan,17000000000,566666.67
335,4,True,True,True,Saadat Abad,33500000000,1116666.67
330,3,True,True,True,Farmanieh,46200000000,1540000
320,4,True,True,True,Saadat Abad,24000000000,800000
320,4,True,True,True,Saadat Abad,40000000000,1333333.33
320,4,True,True,True,Saadat Abad,40000000000,1333333.33
320,5,False,False,False,Sattarkhan,28000000000,933333.33
312,4,True,True,True,Farmanieh,45000000000,1500000
310,3,True,True,True,Elahieh,45500000000,1516666.67
310,3,True,True,True,Aqdasieh,74400000000,2480000
303,3,True,True,True,Ajudaniye,30000000000,1000000
303,4,True,True,True,Velenjak,48000000000,1600000
303,5,True,True,False,Argentina,33330000000,1111000
300,3,True,True,False,Baghestan,1500000000,50000
300,3,True,True,True,Niavaran,55500000000,1850000
300,3,True,True,True,Farmanieh,55500000000,1850000
300,4,True,True,True,Zaferanieh,42000000000,1400000
300,3,False,False,False,Lavasan,27000000000,900000
300,4,True,True,True,Farmanieh,37000000000,1233333.33
300,4,True,True,True,Saadat Abad,30000000000,1000000
300,3,True,True,False,Golestan,24000000000,800000
300,4,True,True,True,Tajrish,9000000000,300000
300,5,True,True,False,Lavasan,25000000000,833333.33
300,3,True,True,False,Argentina,17000000000,566666.67
290,4,True,True,True,Farmanieh,36000000000,1200000
290,3,True,True,True,Farmanieh,37000000000,1233333.33
290,4,True,True,True,Farmanieh,34000000000,1133333.33
290,4,True,True,True,Zaferanieh,15950000000,531666.67
290,4,True,True,True,Aqdasieh,27000000000,900000
287,5,True,True,False,Vanak,57500000000,1916666.67
285,4,True,True,True,Shahrake Gharb,28500000000,950000
283,3,True,True,True,Zaferanieh,29700000000,990000
283,3,True,True,True,Farmanieh,33840000000,1128000
282,3,True,True,True,Farmanieh,36660000000,1222000
282,2,True,True,True,Niavaran,30000000000,1000000
280,4,True,True,True,Saadat Abad,38500000000,1283333.33
280,4,True,True,True,Velenjak,30800000000,1026666.67
270,4,True,True,True,Farmanieh,37800000000,1260000
270,5,True,True,False,Yousef Abad,13500000000,450000
270,5,True,True,False,Aqdasieh,14500000000,483333.33
270,3,True,True,True,Kamranieh,26500000000,883333.33
270,4,True,True,True,Niavaran,35000000000,1166666.67
270,4,True,True,False,Jordan,13000000000,433333.33
265,3,True,True,True,Farmanieh,20000000000,666666.67
261,4,True,True,True,Zaferanieh,26000000000,866666.67
258,4,True,True,False,Jordan,12000000000,400000
257,4,True,True,True,Persian Gulf Martyrs Lake,12850000000,428333.33
256,3,True,True,True,Dorous,18500000000,616666.67
255,3,True,True,True,Farmanieh,26000000000,866666.67
253,5,True,True,False,North Program Organization,30360000000,1012000
253,4,True,True,True,Jordan,11385000000,379500
250,3,True,True,True,Niavaran,32500000000,1083333.33
250,3,True,True,False,Niavaran,45000000000,1500000
250,4,True,True,False,Shahrake Gharb,35000000000,1166666.67
250,3,True,True,True,Elahieh,40000000000,1333333.33
250,3,True,True,True,Niavaran,34000000000,1133333.33
250,4,True,True,True,Zaferanieh,18750000000,625000
250,3,True,True,True,Velenjak,40000000000,1333333.33
246,3,True,True,True,Ekhtiarieh,22500000000,750000
245,3,True,True,True,Farmanieh,26950000000,898333.33
245,3,True,True,True,Aqdasieh,36500000000,1216666.67
245,3,True,True,True,Farmanieh,22050000000,735000
245,5,True,True,True,Dezashib,14500000000,483333.33
245,3,True,True,True,Niavaran,21560000000,718666.67
245,3,True,True,True,Shahrake Gharb,19000000000,633333.33
245,2,False,False,False,Islamshahr,7800000000,260000
240,4,True,True,True,Elahieh,38500000000,1283333.33
240,3,True,True,True,Velenjak,46000000000,1533333.33
240,4,True,True,True,Persian Gulf Martyrs Lake,4800000000,160000
240,4,True,True,False,Andisheh,4300000000,143333.33
240,4,True,True,False,Andisheh,5700000000,190000
240,3,True,True,False,Elahieh,34560000000,1152000
238,3,True,True,True,Velenjak,42840000000,1428000
238,3,True,True,True,Velenjak,46900000000,1563333.33
236,4,True,True,True,Gheitarieh,20000000000,666666.67
235,3,True,True,True,North Program Organization,16450000000,548333.33
235,3,True,True,True,Gheitarieh,24000000000,800000
235,3,True,True,True,Gheitarieh,26500000000,883333.33
235,3,True,True,True,Gheitarieh,25900000000,863333.33
235,3,True,True,True,Niavaran,20000000000,666666.67
